IssueType,Id,Name,Summary,EpicName,EpicLink,Sprint,Team,Application,Flow,StoryPoints,TotalStories,TotalStoryPoints
Epic,MULE2CAM-EPIC-netsuite-data-retrieval_1.4.0-SNAPSHOT,netsuite-data-retrieval_1.4.0-SNAPSHOT,Epic: netsuite-data-retrieval_1.4.0-SNAPSHOT Migration,netsuite-data-retrieval_1.4.0-SNAPSHOT,null,null,Expert Team,netsuite-data-retrieval_1.4.0-SNAPSHOT,null,null,4,47
Epic,MULE2CAM-EPIC-upload-to-ftp-after-converting-json-to-xml_1.4.0-SNAPSHOT,upload-to-ftp-after-converting-json-to-xml_1.4.0-SNAPSHOT,Epic: upload-to-ftp-after-converting-json-to-xml_1.4.0-SNAPSHOT Migration,upload-to-ftp-after-converting-json-to-xml_1.4.0-SNAPSHOT,null,null,Expert Team,upload-to-ftp-after-converting-json-to-xml_1.4.0-SNAPSHOT,null,null,1,8
Epic,MULE2CAM-EPIC-sending-a-csv-file-through-email-using-smtp_1.4.0-SNAPSHOT,sending-a-csv-file-through-email-using-smtp_1.4.0-SNAPSHOT,Epic: sending-a-csv-file-through-email-using-smtp_1.4.0-SNAPSHOT Migration,sending-a-csv-file-through-email-using-smtp_1.4.0-SNAPSHOT,null,null,Expert Team,sending-a-csv-file-through-email-using-smtp_1.4.0-SNAPSHOT,null,null,1,8
Epic,MULE2CAM-EPIC-importing-an-email-attachment-using-the-POP3-connector_1.4.0-SNAPSHOT,importing-an-email-attachment-using-the-POP3-connector_1.4.0-SNAPSHOT,Epic: importing-an-email-attachment-using-the-POP3-connector_1.4.0-SNAPSHOT Migration,importing-an-email-attachment-using-the-POP3-connector_1.4.0-SNAPSHOT,null,null,Expert Team,importing-an-email-attachment-using-the-POP3-connector_1.4.0-SNAPSHOT,null,null,1,8
Epic,MULE2CAM-EPIC-web-service-consumer_1.4.0-SNAPSHOT,web-service-consumer_1.4.0-SNAPSHOT,Epic: web-service-consumer_1.4.0-SNAPSHOT Migration,web-service-consumer_1.4.0-SNAPSHOT,null,null,Expert Team,web-service-consumer_1.4.0-SNAPSHOT,null,null,2,18
Epic,MULE2CAM-EPIC-jms-message-rollback-and-redelivery_1.4.0-SNAPSHOT,jms-message-rollback-and-redelivery_1.4.0-SNAPSHOT,Epic: jms-message-rollback-and-redelivery_1.4.0-SNAPSHOT Migration,jms-message-rollback-and-redelivery_1.4.0-SNAPSHOT,null,null,Expert Team,jms-message-rollback-and-redelivery_1.4.0-SNAPSHOT,null,null,1,8
Epic,MULE2CAM-EPIC-salesforce-data-synchronization-using-watermarking-and-batch-processing_1.4.0-SNAPSHOT,salesforce-data-synchronization-using-watermarking-and-batch-processing_1.4.0-SNAPSHOT,Epic: salesforce-data-synchronization-using-watermarking-and-batch-processing_1.4.0-SNAPSHOT Migration,salesforce-data-synchronization-using-watermarking-and-batch-processing_1.4.0-SNAPSHOT,null,null,Expert Team,salesforce-data-synchronization-using-watermarking-and-batch-processing_1.4.0-SNAPSHOT,null,null,1,3
Epic,MULE2CAM-EPIC-adding-a-new-customer-to-workday-revenue-management_1.4.0-SNAPSHOT,adding-a-new-customer-to-workday-revenue-management_1.4.0-SNAPSHOT,Epic: adding-a-new-customer-to-workday-revenue-management_1.4.0-SNAPSHOT Migration,adding-a-new-customer-to-workday-revenue-management_1.4.0-SNAPSHOT,null,null,Expert Team,adding-a-new-customer-to-workday-revenue-management_1.4.0-SNAPSHOT,null,null,1,8
Epic,MULE2CAM-EPIC-import-contacts-into-salesforce_1.4.0-SNAPSHOT,import-contacts-into-salesforce_1.4.0-SNAPSHOT,Epic: import-contacts-into-salesforce_1.4.0-SNAPSHOT Migration,import-contacts-into-salesforce_1.4.0-SNAPSHOT,null,null,Expert Team,import-contacts-into-salesforce_1.4.0-SNAPSHOT,null,null,1,8
Epic,MULE2CAM-EPIC-service-orchestration-and-choice-routing_1.4.0-SNAPSHOT,service-orchestration-and-choice-routing_1.4.0-SNAPSHOT,Epic: service-orchestration-and-choice-routing_1.4.0-SNAPSHOT Migration,service-orchestration-and-choice-routing_1.4.0-SNAPSHOT,null,null,Expert Team,service-orchestration-and-choice-routing_1.4.0-SNAPSHOT,null,null,10,87
Epic,MULE2CAM-EPIC-track-a-custom-business-event_1.4.0-SNAPSHOT,track-a-custom-business-event_1.4.0-SNAPSHOT,Epic: track-a-custom-business-event_1.4.0-SNAPSHOT Migration,track-a-custom-business-event_1.4.0-SNAPSHOT,null,null,Expert Team,track-a-custom-business-event_1.4.0-SNAPSHOT,null,null,1,3
Epic,MULE2CAM-EPIC-foreach-processing-and-choice-routing_1.4.0-SNAPSHOT,foreach-processing-and-choice-routing_1.4.0-SNAPSHOT,Epic: foreach-processing-and-choice-routing_1.4.0-SNAPSHOT Migration,foreach-processing-and-choice-routing_1.4.0-SNAPSHOT,null,null,Expert Team,foreach-processing-and-choice-routing_1.4.0-SNAPSHOT,null,null,7,23
Epic,MULE2CAM-EPIC-rest-api-with-apikit_1.4.0-SNAPSHOT,rest-api-with-apikit_1.4.0-SNAPSHOT,Epic: rest-api-with-apikit_1.4.0-SNAPSHOT Migration,rest-api-with-apikit_1.4.0-SNAPSHOT,null,null,Expert Team,rest-api-with-apikit_1.4.0-SNAPSHOT,null,null,10,95
Epic,MULE2CAM-EPIC-testing-apikit-with-munit_1.4.0-SNAPSHOT,testing-apikit-with-munit_1.4.0-SNAPSHOT,Epic: testing-apikit-with-munit_1.4.0-SNAPSHOT Migration,testing-apikit-with-munit_1.4.0-SNAPSHOT,null,null,Expert Team,testing-apikit-with-munit_1.4.0-SNAPSHOT,null,null,5,40
Epic,MULE2CAM-EPIC-sap-data-retrieval_1.4.0-SNAPSHOT,sap-data-retrieval_1.4.0-SNAPSHOT,Epic: sap-data-retrieval_1.4.0-SNAPSHOT Migration,sap-data-retrieval_1.4.0-SNAPSHOT,null,null,Expert Team,sap-data-retrieval_1.4.0-SNAPSHOT,null,null,4,47
Epic,MULE2CAM-EPIC-get-customer-list-from-netsuite_1.4.0-SNAPSHOT,get-customer-list-from-netsuite_1.4.0-SNAPSHOT,Epic: get-customer-list-from-netsuite_1.4.0-SNAPSHOT Migration,get-customer-list-from-netsuite_1.4.0-SNAPSHOT,null,null,Senior Team,get-customer-list-from-netsuite_1.4.0-SNAPSHOT,null,null,1,5
Epic,MULE2CAM-EPIC-filtering-a-message_1.4.0-SNAPSHOT,filtering-a-message_1.4.0-SNAPSHOT,Epic: filtering-a-message_1.4.0-SNAPSHOT Migration,filtering-a-message_1.4.0-SNAPSHOT,null,null,Senior Team,filtering-a-message_1.4.0-SNAPSHOT,null,null,1,8
Epic,MULE2CAM-EPIC-scatter-gather-flow-control_1.4.0-SNAPSHOT,scatter-gather-flow-control_1.4.0-SNAPSHOT,Epic: scatter-gather-flow-control_1.4.0-SNAPSHOT Migration,scatter-gather-flow-control_1.4.0-SNAPSHOT,null,null,Senior Team,scatter-gather-flow-control_1.4.0-SNAPSHOT,null,null,2,11
Epic,MULE2CAM-EPIC-websphere-mq_1.4.0-SNAPSHOT,websphere-mq_1.4.0-SNAPSHOT,Epic: websphere-mq_1.4.0-SNAPSHOT Migration,websphere-mq_1.4.0-SNAPSHOT,null,null,Senior Team,websphere-mq_1.4.0-SNAPSHOT,null,null,3,16
Epic,MULE2CAM-EPIC-processing-orders-with-dataweave-and-APIkit_1.4.0-SNAPSHOT-2,processing-orders-with-dataweave-and-APIkit_1.4.0-SNAPSHOT-2,Epic: processing-orders-with-dataweave-and-APIkit_1.4.0-SNAPSHOT-2 Migration,processing-orders-with-dataweave-and-APIkit_1.4.0-SNAPSHOT-2,null,null,Standard Team,processing-orders-with-dataweave-and-APIkit_1.4.0-SNAPSHOT-2,null,null,3,11
Epic,MULE2CAM-EPIC-querying-a-db-and-attaching-results-to-an-email_1.4.0-SNAPSHOT,querying-a-db-and-attaching-results-to-an-email_1.4.0-SNAPSHOT,Epic: querying-a-db-and-attaching-results-to-an-email_1.4.0-SNAPSHOT Migration,querying-a-db-and-attaching-results-to-an-email_1.4.0-SNAPSHOT,null,null,Standard Team,querying-a-db-and-attaching-results-to-an-email_1.4.0-SNAPSHOT,null,null,1,3
Epic,MULE2CAM-EPIC-dataweave-with-flowreflookup_1.4.0-SNAPSHOT,dataweave-with-flowreflookup_1.4.0-SNAPSHOT,Epic: dataweave-with-flowreflookup_1.4.0-SNAPSHOT Migration,dataweave-with-flowreflookup_1.4.0-SNAPSHOT,null,null,Standard Team,dataweave-with-flowreflookup_1.4.0-SNAPSHOT,null,null,2,7
